Rang,Modèle,Config,R²_train,R²_test,RMSE_test,MAE_test,RPD,Biais,CV_mean,CV_std,Score
1,XGBoost,Nettoyé,0.9951519173846645,0.8697633869504677,0.1975028566784927,0.1645451584907427,2.7709803962965447,-0.016833820081736974,0.6774380957548916,0.06483319967755402,0.8308085467248956
2,XGBoost,Nettoyé+Stand,0.9951519173846645,0.8697633869504677,0.1975028566784927,0.1645451584907427,2.7709803962965447,-0.016833820081736974,0.6774380957548916,0.06483319967755402,0.8308085467248956
3,GradientBoosting,Nettoyé,0.997624030956846,0.8595743594951123,0.20508317939705717,0.16657081753900818,2.668558902186215,-0.017350477260133522,0.6712771117003508,0.04969578374303775,0.8111500076213325
4,CatBoost,Nettoyé+Stand,0.9101497014841544,0.8583076726867589,0.20600606273638122,0.16273859775793698,2.6566040668861293,-0.004401383642791638,0.7004985709169493,0.06542845787703,0.8088018782691468
5,CatBoost,Nettoyé,0.9101497014841544,0.8583011897516517,0.2060107754427282,0.16294537113925747,2.656543294361874,-0.004552285896928967,0.7010193740518204,0.06525847039015918,0.8087899114612873
6,RandomForest,Nettoyé,0.9574369331325577,0.8580859687525951,0.20616716709425764,0.16692671232876707,2.6545281277423767,-0.01808835616437929,0.6892391555381415,0.08192504322093587,0.8083929286645246
7,GradientBoosting,Nettoyé+Stand,0.997624030956846,0.8558466848565724,0.20778737287273466,0.16833198808131056,2.6338296524104217,-0.018457845788256908,0.6735794373552918,0.048644790451133554,0.8042956977285451
8,RandomForest,Nettoyé+Stand,0.9575698395829061,0.8556187037724005,0.20795161771003237,0.16789520547945289,2.631749394860643,-0.016932191780818395,0.6886406818739663,0.07998876363912397,0.8038819077836523
9,ExtraTrees,Nettoyé+Stand,0.999999994733855,0.8531393115404027,0.2097295450849707,0.1730111301369848,2.6094394275586854,-0.008387499999994219,0.6968278684022167,0.07741384294302353,0.7994206544174096
10,ExtraTrees,Nettoyé,0.999999994733855,0.8531393115404026,0.20972954508497077,0.17301113013698494,2.6094394275586845,-0.008387499999994365,0.6968278684022164,0.07741384294302361,0.7994206544174094
11,ElasticNet,Nettoyé+Stand,0.7061540384550401,0.8041360070320072,0.2422055758831677,0.19835343369060965,2.2595538606950085,-0.015250140790161446,0.685099234289719,0.07825802874288836,0.7226843907687232
12,Ridge,Nettoyé,0.7325511102625314,0.795660182023588,0.24739068097132344,0.20179029623064632,2.2121954712275826,-0.009275638496811397,0.6725543209243439,0.0591314598701094,0.7110926284097434
13,Ridge,Nettoyé+Stand,0.7442593433369423,0.7914280912070986,0.2499394114373305,0.19248216916840397,2.1896368440712797,-0.019338411486463748,0.6801367247544009,0.05448100669547059,0.7054463756015054
14,PLS,Nettoyé+Stand,0.7442809348041284,0.788846954942232,0.25148119150870824,0.19382629835317658,2.176212625625795,-0.01898254417066637,0.6740442806332221,0.048151792934393894,0.7020464481893341
15,PLS,Nettoyé,0.7442809348041288,0.7888469549422299,0.25148119150870946,0.19382629835317766,2.176212625625785,-0.018982544170682236,0.6740442806332242,0.04815179293439597,0.7020464481893315
16,CatBoost,Standardisé,0.9242949288956996,0.7785347165085589,0.2497192867051456,0.18813861384906602,2.1249424458993853,0.0699662233902913,0.7430931244503285,0.011122370888007816,0.6934154002169364
17,CatBoost,Brut,0.9242949288956996,0.7784536340694256,0.24976499589172532,0.18812356636403207,2.1245535627799392,0.07017468052546298,0.7429215429387015,0.011099923420944405,0.6933137644706512
